file|coverage|substring_size|peak|stack|time
cere-gcis-ef|-|1|21641784|6291456|0.0002
cere|3|1|1251478530|6291456|163.0369
cere|4|1|942275174|6291456|187.6657
cere|5|1|860369654|6291456|174.4364
cere|6|1|457886006|6291456|156.6594
cere|7|1|877080502|6291456|146.7785
cere|8|1|285647398|6291456|147.1086
cere|9|1|397758406|6291456|149.1813
cere|15|1|312984799|6291456|394.7941
cere|30|1|305413164|6291456|502.6039
cere|60|1|491058474|6291456|605.1383
cere-gcis-ef|-|10|21641784|6291456|0.0002
cere|3|10|1251804713|6291456|162.8346
cere|4|10|942452545|6291456|188.3402
cere|5|10|860615893|6291456|173.6045
cere|6|10|458087969|6291456|157.3123
cere|7|10|877248925|6291456|145.9796
cere|8|10|285774837|6291456|148.3090
cere|9|10|397907445|6291456|148.5011
cere|15|10|313103718|6291456|396.6681
cere|30|10|305525499|6291456|500.8782
cere|60|10|491177753|6291456|607.5261
cere-gcis-ef|-|100|21641784|6291456|0.0002
cere|3|100|1254712255|6291456|163.6833
cere|4|100|944138875|6291456|187.6135
cere|5|100|862531415|6291456|174.6806
cere|6|100|459510415|6291456|156.5556
cere|7|100|878776291|6291456|146.5558
cere|8|100|287124123|6291456|147.0992
cere|9|100|399309263|6291456|149.2466
cere|15|100|314206124|6291456|395.0068
cere|30|100|306559473|6291456|503.4368
cere|60|100|492092307|6291456|604.7939
cere-gcis-ef|-|1000|21641784|6291456|0.0002
cere|3|1000|1282724811|6291456|163.1267
cere|4|1000|963973095|6291456|188.2497
cere|5|1000|881139767|6291456|173.3267
cere|6|1000|475862343|6291456|157.1069
cere|7|1000|894128383|6291456|145.6599
cere|8|1000|301159979|6291456|148.1068
cere|9|1000|413061727|6291456|148.2739
cere|15|1000|326025704|6291456|397.2887
cere|30|1000|316869421|6291456|513.5355
cere|60|1000|501691811|6291456|605.8561
cere-gcis-ef|-|10000|21641784|6291456|0.0002
cere|3|10000|1554111267|6291456|163.4293
cere|4|10000|1173499935|6291456|188.8310
cere|5|10000|1058317151|6291456|173.8717
cere|6|10000|636544999|6291456|157.2382
cere|7|10000|1047727735|6291456|145.9909
cere|8|10000|442098983|6291456|148.2204
cere|9|10000|548401591|6291456|148.0351
cere|15|10000|442708217|6291456|396.8677
cere|30|10000|419125262|6291456|500.7696
cere|60|10000|597926588|6291456|608.1428
