file|coverage|substring_size|peak|stack|time
sources.001.2-gcis-ef|-|1|5960796|6291456|0.0002
sources.001.2|3|1|150914706|6291456|32.5020
sources.001.2|4|1|220252794|6291456|2.0998
sources.001.2|5|1|60400810|6291456|37.9789
sources.001.2|6|1|77095558|6291456|18.2163
sources.001.2|7|1|53121830|6291456|57.5979
sources.001.2|8|1|189744066|6291456|2.4940
sources.001.2|9|1|64932478|6291456|39.6116
sources.001.2|15|1|172354129|6291456|51.1989
sources.001.2|30|1|83426424|6291456|88.7015
sources.001.2|60|1|70757074|6291456|119.9206
sources.001.2-gcis-ef|-|10|5960796|6291456|0.0002
sources.001.2|3|10|151188377|6291456|32.4922
sources.001.2|4|10|220473849|6291456|2.0959
sources.001.2|5|10|60618885|6291456|37.9903
sources.001.2|6|10|77272629|6291456|18.1615
sources.001.2|7|10|53272621|6291456|57.6381
sources.001.2|8|10|189871505|6291456|2.4934
sources.001.2|9|10|65068389|6291456|39.5551
sources.001.2|15|10|172473048|6291456|51.2559
sources.001.2|30|10|83523863|6291456|88.7287
sources.001.2|60|10|70853653|6291456|119.8833
sources.001.2-gcis-ef|-|100|5960796|6291456|0.0002
sources.001.2|3|100|154213727|6291456|32.5219
sources.001.2|4|100|222728087|6291456|2.0745
sources.001.2|5|100|62309167|6291456|38.2619
sources.001.2|6|100|78887839|6291456|18.2169
sources.001.2|7|100|54806131|6291456|57.6859
sources.001.2|8|100|191445479|6291456|2.4589
sources.001.2|9|100|66499659|6291456|39.6451
sources.001.2|15|100|173647774|6291456|51.3832
sources.001.2|30|100|84542941|6291456|89.0351
sources.001.2|60|100|71807487|6291456|119.6496
sources.001.2-gcis-ef|-|1000|5960796|6291456|0.0002
sources.001.2|3|1000|180767387|6291456|32.4615
sources.001.2|4|1000|242671031|6291456|2.1076
sources.001.2|5|1000|80661523|6291456|38.0287
sources.001.2|6|1000|94946639|6291456|18.2446
sources.001.2|7|1000|69714031|6291456|57.6511
sources.001.2|8|1000|204994511|6291456|2.4798
sources.001.2|9|1000|79887399|6291456|39.7312
sources.001.2|15|1000|185279322|6291456|51.3809
sources.001.2|30|1000|94770961|6291456|88.8329
sources.001.2|60|1000|81410243|6291456|119.6871
sources.001.2-gcis-ef|-|10000|5960796|6291456|0.0002
sources.001.2|3|10000|450637959|6291456|33.2164
sources.001.2|4|10000|453524883|6291456|2.3485
sources.001.2|5|10000|260473771|6291456|38.7472
sources.001.2|6|10000|256815959|6291456|18.6928
sources.001.2|7|10000|219682631|6291456|58.0067
sources.001.2|8|10000|347113127|6291456|2.6525
sources.001.2|9|10000|214850479|6291456|40.3073
sources.001.2|15|10000|301238635|6291456|51.8446
sources.001.2|30|10000|196985838|6291456|89.1085
sources.001.2|60|10000|177538640|6291456|119.7540
